Date,Close
1998-01-20,47.49
1998-01-21,46.9
1998-01-22,46.51
1998-01-23,46.39
1998-01-26,46.58
1998-01-27,47.13
1998-01-28,47.67
1998-01-29,47.84
1998-01-30,47.74
1998-02-02,48.81
1998-02-03,49.2
1998-02-04,48.94
1998-02-05,48.95
1998-02-06,49.47
1998-02-09,49.28
1998-02-10,50.1
1998-02-11,50.1
1998-02-12,50.42
1998-02-13,50.4
1998-02-17,50.65
1998-02-18,50.99
1998-02-19,50.51
1998-02-20,50.78
1998-02-23,50.76
1998-02-24,50.61
1998-02-25,51.03
1998-02-26,51.31
1998-02-27,51.57
1998-03-02,51.65
1998-03-03,51.88
1998-03-04,51.53
1998-03-05,51.08
1998-03-06,51.84
1998-03-09,51.74
1998-03-10,52.25
1998-03-11,52.42
1998-03-12,52.35
1998-03-13,51.91
1998-03-16,52.7
1998-03-17,52.88
1998-03-18,53.01
1998-03-19,53.16
1998-03-20,53.72
1998-03-23,53.31
1998-03-24,53.89
1998-03-25,53.55
1998-03-26,53.4
1998-03-27,53.18
1998-03-30,53.12
1998-03-31,53.14
1998-04-01,53.59
1998-04-02,54.32
1998-04-03,54.28
1998-04-06,54.45
1998-04-07,54.16
1998-04-08,53.79
1998-04-09,54.45
1998-04-13,54.43
1998-04-14,55.09
1998-04-15,55.44
1998-04-16,54.87
1998-04-17,55.46
1998-04-20,55.21
1998-04-21,55.58
1998-04-22,55.55
1998-04-23,55.22
1998-04-24,54.76
1998-04-27,53.98
1998-04-28,53.82
1998-04-29,54.08
1998-04-30,54.96
1998-05-01,55.43
1998-05-04,55.53
1998-05-05,55.33
1998-05-06,54.6
1998-05-07,54.27
1998-05-08,55.0
1998-05-11,54.99
1998-05-12,55.59
1998-05-13,55.79
1998-05-14,55.53
1998-05-15,54.97
1998-05-18,54.81
1998-05-19,54.82
1998-05-20,55.56
1998-05-21,55.32
1998-05-22,55.23
1998-05-26,54.28
1998-05-27,54.28
1998-05-28,54.47
1998-05-29,53.78
1998-06-01,54.12
1998-06-02,53.85
1998-06-03,53.18
1998-06-04,53.81
1998-06-05,55.0
1998-06-08,55.04
1998-06-09,54.93
1998-06-10,54.33
1998-06-11,53.35
1998-06-12,53.61
1998-06-15,52.06
1998-06-16,52.54
1998-06-17,53.67
1998-06-18,53.46
1998-06-19,52.83
1998-06-22,52.89
1998-06-23,53.62
1998-06-24,54.17
1998-06-25,54.41
1998-06-26,54.41
1998-06-29,54.68
1998-06-30,54.41
1998-07-01,54.96
1998-07-02,54.78
1998-07-06,55.36
1998-07-07,55.27
1998-07-08,55.79
1998-07-09,55.13
1998-07-10,55.35
1998-07-13,55.2
1998-07-14,56.08
1998-07-15,56.12
1998-07-16,56.58
1998-07-17,56.62
1998-07-20,56.5
1998-07-21,55.66
1998-07-22,55.45
1998-07-23,54.21
1998-07-24,54.26
1998-07-27,54.75
1998-07-28,54.13
1998-07-29,54.0
1998-07-30,54.74
1998-07-31,53.71
1998-08-03,53.27
1998-08-04,51.53
1998-08-05,51.97
1998-08-06,51.97
1998-08-07,52.27
1998-08-10,52.04
1998-08-11,51.19
1998-08-12,51.99
1998-08-13,51.13
1998-08-14,51.15
1998-08-17,52.02
1998-08-18,53.01
1998-08-19,52.76
1998-08-20,52.33
1998-08-21,52.05
1998-08-24,52.07
1998-08-25,52.24
1998-08-26,51.92
1998-08-27,49.28
1998-08-28,49.12
1998-08-31,45.53
1998-09-01,47.75
1998-09-02,47.3
1998-09-03,46.84
1998-09-04,46.75
1998-09-08,49.01
1998-09-09,47.68
1998-09-10,46.06
1998-09-11,47.87
1998-09-14,48.28
1998-09-15,48.82
1998-09-16,49.33
1998-09-17,47.9
1998-09-18,47.99
1998-09-21,48.26
1998-09-22,48.02
1998-09-23,49.85
1998-09-24,48.57
1998-09-25,48.79
1998-09-28,49.49
1998-09-29,49.13
1998-09-30,47.61
1998-10-01,46.41
1998-10-02,47.59
1998-10-05,47.02
1998-10-06,47.0
1998-10-07,47.1
1998-10-08,47.08
1998-10-09,48.22
1998-10-12,48.58
1998-10-13,48.21
1998-10-14,48.52
1998-10-15,51.07
1998-10-16,51.26
1998-10-19,51.53
1998-10-20,51.69
1998-10-21,51.8
1998-10-22,52.1
1998-10-23,51.34
1998-10-26,51.38
1998-10-27,50.98
1998-10-28,50.82
1998-10-29,52.02
1998-10-30,52.39
1998-11-02,53.26
1998-11-03,52.98
1998-11-04,53.73
1998-11-05,54.5
1998-11-06,54.73
1998-11-09,54.2
1998-11-10,53.96
1998-11-11,53.8
1998-11-12,53.96
1998-11-13,54.5
1998-11-16,55.01
1998-11-17,54.78
1998-11-18,55.21
1998-11-19,55.26
1998-11-20,55.94
1998-11-23,57.39
1998-11-24,56.78
1998-11-25,56.8
1998-11-27,56.88
1998-11-30,55.39
1998-12-01,55.66
1998-12-02,55.35
1998-12-03,54.18
1998-12-04,55.2
1998-12-07,55.35
1998-12-08,55.08
1998-12-09,54.93
1998-12-10,53.84
1998-12-11,53.65
1998-12-14,52.77
1998-12-15,53.81
1998-12-16,53.6
1998-12-17,54.11
1998-12-18,54.2
1998-12-21,54.87
1998-12-22,55.2
1998-12-23,56.25
1998-12-24,56.27
1998-12-28,56.17
1998-12-29,57.11
1998-12-30,56.59
1998-12-31,55.92
1999-01-04,56.18
1999-01-05,56.95
1999-01-06,58.44
1999-01-07,58.19
1999-01-08,58.97
1999-01-11,58.86
1999-01-12,57.75
1999-01-13,57.03
1999-01-14,55.52
1999-01-15,57.2
1999-01-19,56.95
1999-01-20,57.3
1999-01-21,56.38
1999-01-22,55.88
1999-01-25,56.47
1999-01-26,57.35
1999-01-27,56.11
1999-01-28,56.59
1999-01-29,57.08
1999-02-01,57.12
1999-02-02,56.7
1999-02-03,57.45
1999-02-04,57.22
1999-02-05,56.95
1999-02-08,56.8
1999-02-09,55.92
1999-02-10,56.07
1999-02-11,57.52
1999-02-12,56.86
1999-02-16,56.73
1999-02-17,56.57
1999-02-18,56.93
1999-02-19,57.33
1999-02-22,58.65
1999-02-23,58.58
1999-02-24,57.54
1999-02-25,57.12
1999-02-26,56.94
1999-03-01,57.04
1999-03-02,57.18
1999-03-03,56.91
1999-03-04,58.21
1999-03-05,59.84
1999-03-08,59.74
1999-03-09,59.42
1999-03-10,60.03
1999-03-11,60.87
1999-03-12,60.46
1999-03-15,61.13
1999-03-16,60.95
1999-03-17,60.63
1999-03-18,61.49
1999-03-19,60.5
1999-03-22,60.85
1999-03-23,59.32
1999-03-24,59.45
1999-03-25,60.54
1999-03-26,60.33
1999-03-29,61.31
1999-03-30,60.95
1999-03-31,60.01
1999-04-01,60.32
1999-04-05,61.46
1999-04-06,61.16
1999-04-07,62.0
1999-04-08,62.65
1999-04-09,62.54
1999-04-12,63.55
1999-04-13,63.92
1999-04-14,64.05
1999-04-15,64.36
1999-04-16,64.18
1999-04-19,64.08
1999-04-20,64.14
1999-04-21,65.39
1999-04-22,65.98
1999-04-23,65.75
1999-04-26,65.85
1999-04-27,66.54
1999-04-28,66.47
1999-04-29,66.79
1999-04-30,66.08
1999-05-03,67.67
1999-05-04,67.08
1999-05-05,67.15
1999-05-06,67.23
1999-05-07,67.81
1999-05-10,67.54
1999-05-11,67.67
1999-05-12,67.63
1999-05-13,68.3
1999-05-14,67.0
1999-05-17,66.77
1999-05-18,66.82
1999-05-19,66.96
1999-05-20,66.81
1999-05-21,66.6
1999-05-24,65.45
1999-05-25,64.64
1999-05-26,65.83
1999-05-27,64.53
1999-05-28,64.69
1999-06-01,65.28
1999-06-02,65.17
1999-06-03,65.68
1999-06-04,66.58
1999-06-07,67.05
1999-06-08,66.3
1999-06-09,65.91
1999-06-10,65.35
1999-06-11,64.58
1999-06-14,65.03
1999-06-15,65.43
1999-06-16,66.31
1999-06-17,66.89
1999-06-18,66.81
1999-06-21,66.6
1999-06-22,66.0
1999-06-23,65.6
1999-06-24,65.06
1999-06-25,65.13
1999-06-28,65.71
1999-06-29,66.29
1999-06-30,67.37
1999-07-01,68.2
1999-07-02,68.77
1999-07-06,68.62
1999-07-07,68.72
1999-07-08,68.46
1999-07-09,69.02
1999-07-12,68.89
1999-07-13,68.93
1999-07-14,68.77
1999-07-15,68.8
1999-07-16,69.02
1999-07-19,68.86
1999-07-20,67.56
1999-07-21,67.73
1999-07-22,67.43
1999-07-23,67.2
1999-07-26,66.81
1999-07-27,67.54
1999-07-28,67.43
1999-07-29,66.41
1999-07-30,65.52
1999-08-02,65.65
1999-08-03,65.75
1999-08-04,65.71
1999-08-05,66.75
1999-08-06,65.98
1999-08-09,66.0
1999-08-10,65.77
1999-08-11,66.54
1999-08-12,66.48
1999-08-13,67.77
1999-08-16,68.18
1999-08-17,68.54
1999-08-18,67.71
1999-08-19,67.62
1999-08-20,68.63
1999-08-23,69.95
1999-08-24,69.73
1999-08-25,70.15
1999-08-26,69.19
1999-08-27,68.53
1999-08-30,67.34
1999-08-31,66.83
1999-09-01,67.64
1999-09-02,66.93
1999-09-03,68.72
1999-09-07,68.07
1999-09-08,68.11
1999-09-09,68.26
1999-09-10,68.11
1999-09-13,68.11
1999-09-14,67.51
1999-09-15,66.6
1999-09-16,66.39
1999-09-17,66.99
1999-09-20,66.78
1999-09-21,65.43
1999-09-22,64.99
1999-09-23,63.48
1999-09-24,63.45
1999-09-27,63.73
1999-09-28,63.52
1999-09-29,63.05
1999-09-30,64.06
1999-10-01,63.42
1999-10-04,64.54
1999-10-05,64.3
1999-10-06,65.45
1999-10-07,65.07
1999-10-08,65.89
1999-10-11,65.76
1999-10-12,64.42
1999-10-13,63.09
1999-10-14,63.44
1999-10-15,61.84
1999-10-18,62.53
1999-10-19,63.19
1999-10-20,64.14
1999-10-21,63.96
1999-10-22,64.62
1999-10-25,63.92
1999-10-26,63.5
1999-10-27,64.46
1999-10-28,65.89
1999-10-29,66.51
1999-11-01,65.86
1999-11-02,65.35
1999-11-03,65.68
1999-11-04,65.93
1999-11-05,66.49
1999-11-08,66.4
1999-11-09,65.74
1999-11-10,65.55
1999-11-11,65.6
1999-11-12,66.82
1999-11-15,66.67
1999-11-16,67.97
1999-11-17,67.54
1999-11-18,68.34
1999-11-19,68.15
1999-11-22,68.83
1999-11-23,68.2
1999-11-24,68.22
1999-11-26,67.79
1999-11-29,67.86
1999-11-30,67.32
1999-12-01,68.2
1999-12-02,68.51
1999-12-03,69.97
1999-12-06,69.53
1999-12-07,68.88
1999-12-08,68.43
1999-12-09,68.99
1999-12-10,69.67
1999-12-13,69.51
1999-12-14,69.26
1999-12-15,69.54
1999-12-16,69.63
1999-12-17,69.95
1999-12-20,69.09
1999-12-21,69.48
