,Date,Close
0,2013-04-28,135.3
1,2013-04-29,141.96
2,2013-04-30,135.3
3,2013-05-01,117.0
4,2013-05-02,103.43
5,2013-05-03,91.01
6,2013-05-04,111.25
7,2013-05-05,116.79
8,2013-05-06,118.33
9,2013-05-07,106.4
10,2013-05-08,112.64
11,2013-05-09,113.0
12,2013-05-10,118.78
13,2013-05-11,113.01
14,2013-05-12,114.71
15,2013-05-13,117.18
16,2013-05-14,114.5
17,2013-05-15,114.16
18,2013-05-16,115.5
19,2013-05-17,123.1
20,2013-05-18,123.88
21,2013-05-19,120.5
22,2013-05-20,122.58
23,2013-05-21,122.9
24,2013-05-22,123.0
25,2013-05-23,125.75
26,2013-05-24,131.7
27,2013-05-25,130.77
28,2013-05-26,134.6
29,2013-05-27,128.99
30,2013-05-28,129.18
31,2013-05-29,132.13
32,2013-05-30,127.4
33,2013-05-31,127.98
34,2013-06-01,129.09
35,2013-06-02,121.3
36,2013-06-03,121.16
37,2013-06-05,121.31
38,2013-06-06,121.71
39,2013-06-07,119.0
40,2013-06-08,110.09
41,2013-06-09,108.4
42,2013-06-10,99.75
43,2013-06-11,105.99
44,2013-06-12,108.9
45,2013-06-13,108.4
46,2013-06-14,102.77
47,2013-06-15,98.4
48,2013-06-16,99.99
49,2013-06-17,100.42
50,2013-06-18,102.0
51,2013-06-19,106.55
52,2013-06-20,107.9
53,2013-06-21,110.91
54,2013-06-22,109.02
55,2013-06-23,107.25
56,2013-06-24,108.0
57,2013-06-25,102.44
58,2013-06-26,103.69
59,2013-06-27,103.39
60,2013-06-28,99.66
61,2013-06-29,93.33
62,2013-06-30,95.39
63,2013-07-01,97.5
64,2013-07-02,89.49
65,2013-07-03,90.8
66,2013-07-04,78.8
67,2013-07-05,78.48
68,2013-07-06,67.81
69,2013-07-07,68.08
70,2013-07-08,77.5
71,2013-07-09,76.39
72,2013-07-10,77.0
73,2013-07-11,85.75
74,2013-07-12,93.8
75,2013-07-13,88.06
76,2013-07-14,95.58
77,2013-07-15,94.0
78,2013-07-16,97.3
79,2013-07-17,98.98
80,2013-07-18,97.8
81,2013-07-19,88.79
82,2013-07-20,91.57
83,2013-07-21,89.28
84,2013-07-22,90.37
85,2013-07-23,91.7
86,2013-07-24,94.58
87,2013-07-25,94.52
88,2013-07-26,96.95
89,2013-07-27,94.13
90,2013-07-28,94.0
91,2013-07-29,98.58
92,2013-07-30,101.5
93,2013-07-31,110.34
94,2013-08-01,106.23
95,2013-08-02,101.61
96,2013-08-03,103.7
97,2013-08-04,104.86
98,2013-08-05,106.56
99,2013-08-06,105.84
100,2013-08-07,106.75
101,2013-08-08,101.67
102,2013-08-09,103.4
103,2013-08-10,102.71
104,2013-08-11,103.77
105,2013-08-12,105.18
106,2013-08-13,106.07
107,2013-08-14,111.62
108,2013-08-15,111.87
109,2013-08-16,109.87
110,2013-08-17,112.74
111,2013-08-18,114.4
112,2013-08-19,118.78
113,2013-08-20,120.5
114,2013-08-21,121.51
115,2013-08-22,122.5
116,2013-08-23,120.0
117,2013-08-24,120.44
118,2013-08-25,122.0
119,2013-08-26,122.04
120,2013-08-27,125.67
121,2013-08-28,123.02
122,2013-08-29,123.44
123,2013-08-30,129.2
124,2013-08-31,137.76
125,2013-09-01,138.17
126,2013-09-02,137.17
127,2013-09-03,137.51
128,2013-09-04,135.21
129,2013-09-05,129.96
130,2013-09-06,126.13
131,2013-09-07,123.73
132,2013-09-08,121.77
133,2013-09-09,126.4
134,2013-09-10,127.78
135,2013-09-11,131.65
136,2013-09-12,134.22
137,2013-09-13,135.05
138,2013-09-14,131.39
139,2013-09-15,129.95
